study,estimate,std_error,n,measure,lower,upper
alumni,0.01023706896551698,0.037519788172696925,668,misinformed_strict,-0.06330036456054086,0.08377450249157481
mturk_july,-0.12823909137966877,0.014176287254730593,4617,misinformed_strict,-0.1560241038334349,-0.10045407892590262
mturk_march,-0.0174687247419663,0.022739226694477248,2118,misinformed_strict,-0.06203679009943347,0.027099340615500872
staff,-0.06954022988505777,0.04852657889382856,354,misinformed_strict,-0.16465057680990325,0.025570117039787704
pooled,-0.08340836683216672,0.011261502128517172,7757,misinformed_strict,-0.10548050541588153,-0.06133622824845191
alumni,0.04148706896551759,0.03829727095669318,668,misinformed_lenient,-0.03357420281577283,0.116548340746808
mturk_july,-0.11200937852076275,0.01457296242768829,4617,misinformed_lenient,-0.14057186002708716,-0.08344689701443832
mturk_march,0.08213286888353724,0.023507619996978854,2118,misinformed_lenient,0.03605878032720513,0.12820695743986935
staff,-0.019540229885057592,0.04963956435910979,354,misinformed_lenient,-0.11683198823717084,0.07775152846705566
pooled,-0.041595408866389134,0.011703144257789554,7757,misinformed_lenient,-0.0645331501175334,-0.018657667615244875
