study,arm,respondents,democrat,republican,interest
alumni,mc,174,0.6954022988505747,0.16091954022988506,6.354651162790697
alumni,scale,160,0.73125,0.1375,6.512500000000001
mturk_july,mc,246,0.5813008130081301,0.2682926829268293,6.199186991869919
mturk_july,mc_media,237,0.5358649789029536,0.2869198312236287,6.367088607594937
mturk_july,scale,267,0.5805243445692884,0.2546816479400749,6.153558052434458
mturk_march,mc,557,0.5314183123877917,0.3123877917414722,5.960502692998205
mturk_march,scale,502,0.4940239043824701,0.3187250996015936,5.798804780876494
staff,mc,87,0.7126436781609196,0.1724137931034483,5.552941176470588
staff,scale,90,0.8111111111111111,0.07777777777777778,5.377777777777778
