study,question,measure,estimate,std_error,lower,upper
mturk_july,birth,mc_media,0.06606977462179685,0.02795326584363492,0.011282380317998775,0.12085716892559492
mturk_july,death,mc_media,0.17088607594936708,0.0388341967621533,0.09477244892700466,0.24699970297172952
mturk_july,deficit,mc_media,0.22038695070495007,0.04074569441310548,0.14052685713018848,0.30024704427971166
mturk_july,fraud,mc_media,0.19589379438098178,0.0388294786775757,0.11978941463446748,0.2719981741274961
mturk_july,illegal,mc_media,0.15210455902027378,0.04133469243643799,0.07109005053281517,0.2331190675077324
mturk_july,increase,mc_media,0.08382216733559741,0.03922786236593739,0.006936969907865964,0.16070736476332886
mturk_july,mmr,mc_media,0.05793969332098384,0.028448708847317764,0.0021812485735750453,0.11369813806839263
mturk_july,religion,mc_media,0.09946485540804773,0.03776497629022157,0.025446862002204418,0.17348284881389103
mturk_july,science,mc_media,0.018215498610682307,0.03298338397360368,-0.0464307460658365,0.08286174328720111
alumni,aca1,scale_lenient,0.05912356321839082,0.04896082356923234,-0.03683788763072436,0.15508501406750602
alumni,aca1,scale_strict,0.015373563218390812,0.04774141098357376,-0.0781978828805387,0.10894500931732032
alumni,aca2,scale_lenient,0.02385057471264368,0.044870256544607204,-0.06409351209185907,0.11179466151714643
alumni,aca2,scale_strict,0.005100574712643663,0.04412130473766461,-0.0813755935240954,0.09157674294938273
mturk_july,birth,scale_lenient,0.005480953685941356,0.023389841456665655,-0.040362293173225185,0.0513242005451079
mturk_july,birth,scale_strict,-0.00950031972229834,0.022337427930075565,-0.05328087397250552,0.03428023452790884
mturk_july,death,scale_lenient,-0.08052434456928838,0.02931598992903348,-0.1379826290013329,-0.02306606013724384
mturk_july,death,scale_strict,-0.09176029962546815,0.028707530799573708,-0.14802602607770693,-0.03549457317322936
mturk_july,deficit,scale_lenient,-0.2517127980268567,0.04262576208711927,-0.33525775653118334,-0.16816783952253006
mturk_july,deficit,scale_strict,-0.29291129989951586,0.04192861732867256,-0.3750898797852761,-0.21073272001375565
mturk_july,fraud,scale_lenient,-0.061158308212295606,0.02952092657350062,-0.11901826108660823,-0.0032983553379829847
mturk_july,fraud,scale_strict,-0.08737553667671509,0.02810413545907393,-0.14245862999313502,-0.032292443360295145
mturk_july,illegal,scale_lenient,-0.18269845619804512,0.02958858194696699,-0.24069101116771244,-0.1247059012283778
mturk_july,illegal,scale_strict,-0.19767972960628483,0.028698040221508358,-0.2539268548673231,-0.1414326043452466
mturk_july,increase,scale_lenient,-0.12866538777747327,0.030650320010692792,-0.18873891111305846,-0.0685918644418881
mturk_july,increase,scale_strict,-0.15113729788983282,0.029438506689869928,-0.2088357107606193,-0.09343888501904635
mturk_july,mmr,scale_lenient,-0.0550835845437106,0.019980977507899723,-0.09424558083509893,-0.015921588252322275
mturk_july,mmr,scale_strict,-0.06257422124783045,0.019298847991562926,-0.10039926825440693,-0.024749174241253967
mturk_july,religion,scale_lenient,-0.12985292774276058,0.02733343370553746,-0.18342547337942716,-0.07628038210609399
mturk_july,religion,scale_strict,-0.13359824609482052,0.027097925053573668,-0.1867092032555905,-0.08048728893405052
mturk_july,science,scale_lenient,-0.12386955330227459,0.024291993003378327,-0.17148098470159506,-0.07625812190295411
mturk_july,science,scale_strict,-0.12761487165433452,0.024013567472927884,-0.17468059904159566,-0.08054914426707337
mturk_march,aca1,scale_lenient,0.0024498058037151216,0.029978626711304822,-0.05630722285641275,0.06120683446384299
mturk_march,aca1,scale_strict,-0.1071119471843327,0.028742178277965772,-0.16344558144637505,-0.05077831292229033
mturk_march,aca2,scale_lenient,0.16181593196334945,0.02840832562635097,0.1061366368746153,0.2174952270520836
mturk_march,aca2,scale_strict,0.07217449770040127,0.027498469331281097,0.018278488181111115,0.12607050721969143
staff,aca1,scale_lenient,0.0022988505747126298,0.06639437302564523,-0.12783172933166964,0.1324294304810949
staff,aca1,scale_strict,-0.07547892720306515,0.06275113723978959,-0.19846889618198288,0.04751104177585258
staff,aca2,scale_lenient,-0.041379310344827586,0.062310125885918104,-0.16350491295338396,0.08074629226372879
staff,aca2,scale_strict,-0.06360153256704981,0.06106485627036948,-0.18328645157808882,0.056083386443989205
