study,prop_id,text,truth,congenial,strict,count,share,rated
alumni,aca_cuts_benefits,Cuts benefits to existing Medicare patients,FALSE,R,knowledge,58,0.3625,160
alumni,aca_cuts_benefits,Cuts benefits to existing Medicare patients,FALSE,R,lean correct,41,0.25625,160
alumni,aca_cuts_benefits,Cuts benefits to existing Medicare patients,FALSE,R,midpoint,37,0.23125,160
alumni,aca_cuts_benefits,Cuts benefits to existing Medicare patients,FALSE,R,lean incorrect,18,0.1125,160
alumni,aca_cuts_benefits,Cuts benefits to existing Medicare patients,FALSE,R,misinformation,6,0.0375,160
alumni,aca_death_panel,Allows a government panel to make decisions about end-of-life care for people on Medicare,FALSE,R,knowledge,95,0.59375,160
alumni,aca_death_panel,Allows a government panel to make decisions about end-of-life care for people on Medicare,FALSE,R,lean correct,24,0.15,160
alumni,aca_death_panel,Allows a government panel to make decisions about end-of-life care for people on Medicare,FALSE,R,midpoint,23,0.14375,160
alumni,aca_death_panel,Allows a government panel to make decisions about end-of-life care for people on Medicare,FALSE,R,lean incorrect,14,0.0875,160
alumni,aca_death_panel,Allows a government panel to make decisions about end-of-life care for people on Medicare,FALSE,R,misinformation,4,0.025,160
alumni,aca_illegal,Provides coverage for people who are currently in the country illegally,FALSE,R,knowledge,72,0.45569620253164556,158
alumni,aca_illegal,Provides coverage for people who are currently in the country illegally,FALSE,R,lean correct,35,0.22151898734177214,158
alumni,aca_illegal,Provides coverage for people who are currently in the country illegally,FALSE,R,midpoint,31,0.1962025316455696,158
alumni,aca_illegal,Provides coverage for people who are currently in the country illegally,FALSE,R,lean incorrect,11,0.06962025316455696,158
alumni,aca_illegal,Provides coverage for people who are currently in the country illegally,FALSE,R,misinformation,9,0.056962025316455694,158
alumni,aca_mammograms,Does not reimburse routine mammograms for women younger than 50,FALSE,R,knowledge,38,0.24203821656050956,157
alumni,aca_mammograms,Does not reimburse routine mammograms for women younger than 50,FALSE,R,lean correct,30,0.1910828025477707,157
alumni,aca_mammograms,Does not reimburse routine mammograms for women younger than 50,FALSE,R,midpoint,59,0.37579617834394907,157
alumni,aca_mammograms,Does not reimburse routine mammograms for women younger than 50,FALSE,R,lean incorrect,17,0.10828025477707007,157
alumni,aca_mammograms,Does not reimburse routine mammograms for women younger than 50,FALSE,R,misinformation,13,0.08280254777070063,157
alumni,aca_payroll_tax,Increases the Medicare payroll tax for upper-income Americans,TRUE,none,knowledge,20,0.12578616352201258,159
alumni,aca_payroll_tax,Increases the Medicare payroll tax for upper-income Americans,TRUE,none,lean correct,49,0.3081761006289308,159
alumni,aca_payroll_tax,Increases the Medicare payroll tax for upper-income Americans,TRUE,none,midpoint,44,0.27672955974842767,159
alumni,aca_payroll_tax,Increases the Medicare payroll tax for upper-income Americans,TRUE,none,lean incorrect,17,0.1069182389937107,159
alumni,aca_payroll_tax,Increases the Medicare payroll tax for upper-income Americans,TRUE,none,misinformation,29,0.18238993710691823,159
alumni,aca_provider_payments,Limits future increases in payments to Medicare providers,TRUE,D,knowledge,8,0.050314465408805034,159
alumni,aca_provider_payments,Limits future increases in payments to Medicare providers,TRUE,D,lean correct,52,0.3270440251572327,159
alumni,aca_provider_payments,Limits future increases in payments to Medicare providers,TRUE,D,midpoint,56,0.3522012578616352,159
alumni,aca_provider_payments,Limits future increases in payments to Medicare providers,TRUE,D,lean incorrect,18,0.11320754716981132,159
alumni,aca_provider_payments,Limits future increases in payments to Medicare providers,TRUE,D,misinformation,25,0.15723270440251572,159
alumni,aca_public_option,"Replaces Medicare with a ""public option""",FALSE,none,knowledge,101,0.63125,160
alumni,aca_public_option,"Replaces Medicare with a ""public option""",FALSE,none,lean correct,21,0.13125,160
alumni,aca_public_option,"Replaces Medicare with a ""public option""",FALSE,none,midpoint,22,0.1375,160
alumni,aca_public_option,"Replaces Medicare with a ""public option""",FALSE,none,lean incorrect,13,0.08125,160
alumni,aca_public_option,"Replaces Medicare with a ""public option""",FALSE,none,misinformation,3,0.01875,160
alumni,aca_single_payer,"Replaces private health insurance with a ""single payer system""",FALSE,R,knowledge,113,0.710691823899371,159
alumni,aca_single_payer,"Replaces private health insurance with a ""single payer system""",FALSE,R,lean correct,19,0.11949685534591195,159
alumni,aca_single_payer,"Replaces private health insurance with a ""single payer system""",FALSE,R,midpoint,16,0.10062893081761007,159
alumni,aca_single_payer,"Replaces private health insurance with a ""single payer system""",FALSE,R,lean incorrect,10,0.06289308176100629,159
alumni,aca_single_payer,"Replaces private health insurance with a ""single payer system""",FALSE,R,misinformation,1,0.006289308176100629,159
mturk_july,j_birth,Barack Obama was born in the US,TRUE,R,knowledge,174,0.7160493827160493,243
mturk_july,j_birth,Barack Obama was born in the US,TRUE,R,lean correct,34,0.13991769547325103,243
mturk_july,j_birth,Barack Obama was born in the US,TRUE,R,midpoint,7,0.02880658436213992,243
mturk_july,j_birth,Barack Obama was born in the US,TRUE,R,lean incorrect,11,0.04526748971193416,243
mturk_july,j_birth,Barack Obama was born in the US,TRUE,R,misinformation,17,0.06995884773662552,243
mturk_july,j_death,The Affordable Care Act does not create government panels to make decisions about end-of-life care,TRUE,R,knowledge,74,0.4868421052631579,152
mturk_july,j_death,The Affordable Care Act does not create government panels to make decisions about end-of-life care,TRUE,R,lean correct,33,0.21710526315789475,152
mturk_july,j_death,The Affordable Care Act does not create government panels to make decisions about end-of-life care,TRUE,R,midpoint,8,0.05263157894736842,152
mturk_july,j_death,The Affordable Care Act does not create government panels to make decisions about end-of-life care,TRUE,R,lean incorrect,17,0.1118421052631579,152
mturk_july,j_death,The Affordable Care Act does not create government panels to make decisions about end-of-life care,TRUE,R,misinformation,20,0.13157894736842105,152
mturk_july,j_deficit,"Since 2012, the annual federal budget deficit has increased",FALSE,R,knowledge,20,0.10810810810810811,185
mturk_july,j_deficit,"Since 2012, the annual federal budget deficit has increased",FALSE,R,lean correct,22,0.11891891891891893,185
mturk_july,j_deficit,"Since 2012, the annual federal budget deficit has increased",FALSE,R,midpoint,9,0.04864864864864865,185
mturk_july,j_deficit,"Since 2012, the annual federal budget deficit has increased",FALSE,R,lean incorrect,57,0.3081081081081081,185
mturk_july,j_deficit,"Since 2012, the annual federal budget deficit has increased",FALSE,R,misinformation,77,0.41621621621621624,185
mturk_july,j_fraud,"In the 2016 presidential election, President Trump won the majority of the legally cast votes",FALSE,R,knowledge,157,0.6305220883534136,249
mturk_july,j_fraud,"In the 2016 presidential election, President Trump won the majority of the legally cast votes",FALSE,R,lean correct,37,0.14859437751004015,249
mturk_july,j_fraud,"In the 2016 presidential election, President Trump won the majority of the legally cast votes",FALSE,R,midpoint,9,0.03614457831325301,249
mturk_july,j_fraud,"In the 2016 presidential election, President Trump won the majority of the legally cast votes",FALSE,R,lean incorrect,27,0.10843373493975904,249
mturk_july,j_fraud,"In the 2016 presidential election, President Trump won the majority of the legally cast votes",FALSE,R,misinformation,19,0.07630522088353414,249
mturk_july,j_illegal,The Affordable Care Act gives illegal immigrants financial help to buy health insurance,FALSE,R,knowledge,53,0.34415584415584416,154
mturk_july,j_illegal,The Affordable Care Act gives illegal immigrants financial help to buy health insurance,FALSE,R,lean correct,42,0.2727272727272727,154
mturk_july,j_illegal,The Affordable Care Act gives illegal immigrants financial help to buy health insurance,FALSE,R,midpoint,15,0.09740259740259741,154
mturk_july,j_illegal,The Affordable Care Act gives illegal immigrants financial help to buy health insurance,FALSE,R,lean incorrect,36,0.23376623376623376,154
mturk_july,j_illegal,The Affordable Care Act gives illegal immigrants financial help to buy health insurance,FALSE,R,misinformation,8,0.05194805194805195,154
mturk_july,j_increase,"Temperatures around the world are increasing because of human activity, like burning coal and gasoline",TRUE,R,knowledge,117,0.46987951807228917,249
mturk_july,j_increase,"Temperatures around the world are increasing because of human activity, like burning coal and gasoline",TRUE,R,lean correct,87,0.3493975903614458,249
mturk_july,j_increase,"Temperatures around the world are increasing because of human activity, like burning coal and gasoline",TRUE,R,midpoint,9,0.03614457831325301,249
mturk_july,j_increase,"Temperatures around the world are increasing because of human activity, like burning coal and gasoline",TRUE,R,lean incorrect,21,0.08433734939759036,249
mturk_july,j_increase,"Temperatures around the world are increasing because of human activity, like burning coal and gasoline",TRUE,R,misinformation,15,0.060240963855421686,249
mturk_july,j_mmr,"The vaccine for measles, mumps, and rubella (MMR) causes autism in children",FALSE,none,knowledge,147,0.6228813559322034,236
mturk_july,j_mmr,"The vaccine for measles, mumps, and rubella (MMR) causes autism in children",FALSE,none,lean correct,59,0.25,236
mturk_july,j_mmr,"The vaccine for measles, mumps, and rubella (MMR) causes autism in children",FALSE,none,midpoint,13,0.05508474576271186,236
